('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         577407 function calls (554068 primitive calls) in 2.280 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    38/29    0.000    0.000    0.010    0.000 css_parser.py:741(parse_pseudo_open)
        2    0.000    0.000    0.001    0.000 request.py:2489(getproxies_environment)
       28    0.000    0.000    0.001    0.000 typing.py:765(__getitem_inner__)
        1    0.000    0.000    0.000    0.000 six.py:524(Module_six_moves_urllib)
      217    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
        1    0.000    0.000    0.027    0.027 dammit.py:67(EntitySubstitution)
      218    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:27(<module>)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
        1    0.000    0.000    0.000    0.000 {method 'set_ciphers' of '_ssl._SSLContext' objects}
      125    0.000    0.000    0.000    0.000 os.py:754(encode)
       22    0.000    0.000    0.000    0.000 util.py:15(lower)
       36    0.000    0.000    0.000    0.000 functools.py:492(decorating_function)
       38    0.000    0.000    0.000    0.000 enum.py:458(_find_data_type)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1433(<setcomp>)
        7    0.000    0.000    0.038    0.005 __init__.py:1(<module>)
        3    0.000    0.000    0.118    0.039 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
        2    0.000    0.000    0.424    0.212 __init__.py:2(<module>)
        1    0.000    0.000    0.140    0.140 api.py:1(<module>)
        1    0.000    0.000    0.002    0.002 dis.py:1(<module>)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
        1    0.000    0.000    0.135    0.135 connection.py:356(connect)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1168(_parse_octet)
        1    0.000    0.000    0.011    0.011 utils.py:7(<module>)
       60    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 stringprep.py:6(<module>)
        1    0.000    0.000    0.139    0.139 cd.py:1(<module>)
       10    0.000    0.000    0.004    0.000 enum.py:638(_convert)
       13    0.000    0.000    0.000    0.000 typing.py:849(__init_subclass__)
        1    0.000    0.000    0.006    0.006 ssl.py:91(<module>)
       66    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       12    0.000    0.000    0.001    0.000 enum.py:805(_create_pseudo_member_)
       52    0.000    0.000    0.003    0.000 css_parser.py:1113(<listcomp>)
       52    0.000    0.000    0.001    0.000 typing.py:749(__getitem__)
        1    0.000    0.000    0.003    0.003 datetime.py:5(<module>)
       58    0.000    0.000    0.000    0.000 __init__.py:20(__new__)
      315    0.000    0.000    0.000    0.000 ssl.py:908(_checkClosed)
       28    0.000    0.000    0.000    0.000 ipaddress.py:2139(__init__)
      265    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
